Purchase+500.00500.002026-08-03PU0002Bismillah Enterprise (01759397170)
Purchase+500.001000.002026-08-04PU0003Bismillah Enterprise (01759397170)
Opening Stock+570.001570.002026-08-05STK-88Opening Stock
Purchase+500.002070.002026-08-05PU0004Bismillah Enterprise (01759397170)
Production Consume-4.002066.002026-08-05 12:38:51PROD-PROD-20260805123631Batch: PROD-20260805123631
Purchase+500.002566.002026-08-06PU0014Bismillah Enterprise (01759397170)
Purchase+500.003066.002026-08-08PU0022Paid Voucher ()
Purchase+500.003566.002026-08-09PU0018Bismillah Enterprise (01759397170)
Purchase+500.004066.002026-08-10PU0023Paid Voucher ()
Production Consume-15.004051.002026-08-10 20:54:55PROD-PROD-20260810205446Batch: PROD-20260810205446
Production Consume-15.004036.002026-08-10 20:55:00PROD-PROD-20260810205425Batch: PROD-20260810205425
Production Consume-12.504023.502026-08-10 20:55:04PROD-PROD-20260810205347Batch: PROD-20260810205347
Production Consume-20.004003.502026-08-10 20:55:07PROD-PROD-20260810205324Batch: PROD-20260810205324
Production Consume-15.003988.502026-08-10 20:55:10PROD-PROD-20260810204615Batch: PROD-20260810204615
Production Consume-40.003948.502026-08-10 20:55:14PROD-PROD-20260810204357Batch: PROD-20260810204357
Production Consume-5.003943.502026-08-10 20:55:17PROD-PROD-20260810200313Batch: PROD-20260810200313
Production Consume-17.503926.002026-08-10 20:55:21PROD-PROD-20260810200256Batch: PROD-20260810200256
Production Consume-15.003911.002026-08-10 20:55:24PROD-PROD-20260810200240Batch: PROD-20260810200240
Production Consume-22.503888.502026-08-10 20:55:28PROD-PROD-20260810200215Batch: PROD-20260810200215
Production Consume-5.003883.502026-08-10 20:55:48PROD-PROD-20260810200152Batch: PROD-20260810200152
Production Consume-20.003863.502026-08-10 20:56:02PROD-PROD-20260810200112Batch: PROD-20260810200112
Production Consume-30.003833.502026-08-10 20:56:06PROD-PROD-20260810200036Batch: PROD-20260810200036
Production Consume-37.503796.002026-08-10 20:56:09PROD-PROD-20260810200013Batch: PROD-20260810200013
Production Consume-10.003786.002026-08-10 20:56:12PROD-PROD-20260810195940Batch: PROD-20260810195940
Production Consume-5.003781.002026-08-10 20:56:15PROD-PROD-20260810195919Batch: PROD-20260810195919
Production Consume-125.003656.002026-08-10 20:56:19PROD-PROD-20260810195800Batch: PROD-20260810195800
Production Consume-15.003641.002026-08-10 20:56:23PROD-PROD-20260810195737Batch: PROD-20260810195737
Production Consume-12.503628.502026-08-10 20:56:27PROD-PROD-20260810195720Batch: PROD-20260810195720
Production Consume-50.003578.502026-08-10 20:56:30PROD-PROD-20260810195701Batch: PROD-20260810195701
Production Consume-15.003563.502026-08-10 20:56:35PROD-PROD-20260810195642Batch: PROD-20260810195642
Production Consume-35.003528.502026-08-10 20:56:40PROD-PROD-20260810195547Batch: PROD-20260810195547
Production Consume-10.003518.502026-08-10 20:56:44PROD-PROD-20260810195456Batch: PROD-20260810195456
Production Consume-150.003368.502026-08-10 20:56:48PROD-PROD-20260810195414Batch: PROD-20260810195414
Production Consume-12.503356.002026-08-11 11:12:08PROD-PROD-20260810195330Batch: PROD-20260810195330
